WKT,nama,deskripsi
"POLYGON ((106.8233017 -6.17146, 106.8230443 -6.1724414, 106.8228726 -6.1780733, 106.8228297 -6.180548, 106.8310694 -6.1803773, 106.8311982 -6.1796946, 106.8305544 -6.1789693, 106.8305974 -6.1784147, 106.8299107 -6.177732, 106.8299965 -6.173508, 106.8291812 -6.1729534, 106.8293957 -6.1721, 106.8291382 -6.1715027, 106.8233017 -6.17146))",Taman Monas,
"POLYGON ((106.8894073 -6.3014947, 106.8893966 -6.3027051, 106.8904266 -6.3026998, 106.8904748 -6.3024652, 106.8903515 -6.3023052, 106.8903246 -6.3021186, 106.8903246 -6.301852, 106.8903622 -6.3017187, 106.8905124 -6.301676, 106.8904695 -6.3015374, 106.890389 -6.3014627, 106.8903032 -6.3015001, 106.8894073 -6.3014947))",TMII,
"POLYGON ((106.8162536 -6.3050226, 106.8161999 -6.3056944, 106.816672 -6.3065475, 106.8169295 -6.3070274, 106.8168544 -6.3074433, 106.8165325 -6.3079231, 106.8161999 -6.3079658, 106.8159532 -6.3081471, 106.8158244 -6.3085843, 106.8158137 -6.3090535, 106.8156957 -6.3094694, 106.8157815 -6.3099919, 106.8160283 -6.3102799, 106.8161463 -6.3105891, 106.8171119 -6.3104931, 106.8176483 -6.3102052, 106.8177449 -6.3112396, 106.8176161 -6.3121567, 106.8177878 -6.31478, 106.8171119 -6.3151639, 106.8164896 -6.3151212, 106.8164467 -6.3160809, 106.8173586 -6.3163262, 106.8179273 -6.3161449, 106.8186032 -6.3164542, 106.8188178 -6.3165928, 106.8190753 -6.3167101, 106.8191611 -6.3168701, 106.8190645 -6.3172113, 106.8204056 -6.3173606, 106.820588 -6.3174672, 106.8222403 -6.3174352, 106.8234097 -6.3173073, 106.8237208 -6.3174459, 106.823753 -6.3177232, 106.824783 -6.3177871, 106.8249117 -6.3169127, 106.8252121 -6.3151532, 106.8253945 -6.3135856, 106.8255877 -6.3126579, 106.8256949 -6.3112929, 106.825931 -6.3112076, 106.8265425 -6.3114849, 106.8266713 -6.3110157, 106.8269395 -6.3096187, 106.8270468 -6.3087229, 106.8246221 -6.3085097, 106.8246972 -6.3063875, 106.8242144 -6.3063449, 106.823399 -6.3063875, 106.8229269 -6.3063342, 106.8226265 -6.3066328, 106.8206309 -6.3063449, 106.8205236 -6.3057904, 106.8193864 -6.3055344, 106.8184208 -6.3053425, 106.8162536 -6.3050226))",Kebun Binatang Ragunan,
"POLYGON ((106.7982459 -6.2146658, 106.7983532 -6.2172469, 106.7983532 -6.219188, 106.7983317 -6.2205959, 106.8030739 -6.2225584, 106.8046617 -6.2247128, 106.808846 -6.2221104, 106.8082881 -6.2214065, 106.8083095 -6.2156897, 106.8061638 -6.215647, 106.8060994 -6.2146018, 106.8063354 -6.2144098, 106.8062067 -6.2133645, 106.8062067 -6.2128099, 106.8029666 -6.2134925, 106.7982459 -6.2146658))",Gelora Bung Karno,
"POLYGON ((106.8509248 -6.2328455, 106.8507102 -6.2332188, 106.8507102 -6.2338054, 106.8508389 -6.23436, 106.8513325 -6.2347652, 106.8521264 -6.2352345, 106.8526306 -6.2357891, 106.852695 -6.2363544, 106.8525985 -6.2367597, 106.8521264 -6.2384234, 106.8517401 -6.2398739, 106.8526843 -6.2421136, 106.8539181 -6.2420176, 106.8535426 -6.241655, 106.853092 -6.2409191, 106.8529632 -6.2404499, 106.8529203 -6.2395433, 106.8530276 -6.2391274, 106.8531885 -6.2386581, 106.8534568 -6.2377622, 106.8535962 -6.2367703, 106.8535426 -6.2360131, 106.8532636 -6.2347332, 106.8528345 -6.2348186, 106.8527808 -6.2341893, 106.8526092 -6.23372, 106.8525555 -6.2335067, 106.8518474 -6.2335281, 106.8515041 -6.2335494, 106.8512681 -6.2334747, 106.8512681 -6.2330908, 106.8509248 -6.2328455))",Tebet Eco park,
